categorie,question,A,B,C,bonne_reponse,commentaire,source
Cat C - Cadre institutionnel et reglementaire,La Banque Centrale Européenne (BCE) a comme objectif principal de :,Maintenir la stabilité des prix dans les pays membres de la zone euro,Réduire le chômage dans les pays membres de l'Union Européenne,Exécuter les décisions des Etats membres de la zone euro dans le domaine de la politique monétaire,A,"La BCE vise à stabiliser le niveau de prix pour éviter l'inflation excessive ou la déflation, ce qui assure un environnement économique stable essentiel pour le développement et la prospérité de la zone euro.",ecb.europa.eu / traité de fonctionnement de l'UE - art 127
Cat C - Cadre institutionnel et reglementaire,"Parmi les autorités suivantes, laquelle est en charge, en France, d'agréer les sociétés de gestion de portefeuille et de contrôler leur respect de la réglementation sur la commercialisation des services qu'elles proposent ?",L 'Autorité de Contrôle Prudentiel et de Résolution (ACPR),Le Ministère de l 'Economie,L 'Autorité des Marchés Financiers (AMF),C,"L'AMF régule les participants et produits du marché financier en France, offrant agréments et surveillance afin d’assurer la protection des investisseurs et le bon fonctionnement des marchés. Les sociétés de gestion de portefeuille, relevant de ce cadre, sont donc naturellement régies par l'AMF.",Article L532-9 du CMF Article L621-1 du CMF
Cat C - Cadre institutionnel et reglementaire,A quels pays s'appliquent les dispositions du Marché unique des services financiers ?,A tous les pays de l'Union Européenne,Aux pays de l'Espace économique européen qui souhaitent y participer,Uniquement aux pays de la zone Euro,A,Le Marché unique des services financiers est une politique réglementée par l'Union Européenne qui harmonise les règles des services financiers au sein de ses États membres pour permettre la libre circulation et une concurrence équitable.,Art 1er du Règlement UE 1024/2013
Cat C - Cadre institutionnel et reglementaire,Quel est l'objectif principal du passeport européen ?,L'enregistrement centralisé des statuts des sociétés des prestataires de services d'investissement (PSI),La libre prestation de services au sein de l'Union européenne,La reconnaissance mutuelle des diplômes entre pays européens,B,"Le passeport européen permet aux entreprises de services financiers agréées dans un pays de l'UE d'opérer dans tout autre pays de l'UE sans nécessiter d'autorisations supplémentaires, facilitant ainsi la libre circulation des services financiers à travers l'Union.","C. mon. fin., art. D 532-20 à D 532-23-1."
Cat C - Cadre institutionnel et reglementaire,Un CIF (conseiller en investissement financier) qui fournit un service de conseil en investissement doit :,Fournir son CV à tous ses clients,Informer ses clients si les conseils sont fournis de manière indépendante ou non,Obligatoirement être affilié à un réseau bancaire ou d'assurance,B,La réglementation impose aux CIF de préciser la nature de leur conseil (indépendant ou non) pour assurer la transparence et permettre aux clients de comprendre l'origine et les potentiels conflits d'intérêts des recommandations reçues. Cela aide les clients à prendre des décisions éclairées.,RG AMF art 325-6
Cat C - Cadre institutionnel et reglementaire,Qui délivre l'agrément d'une entreprise d'investissement ?,La Banque de France,L'ACPR,L'AMF,B,"L'Autorité de Contrôle Prudentiel et de Résolution (ACPR) est chargée de la supervision des banques et des assurances en France, incluant les entreprises d'investissement, pour s'assurer de leur conformité à la réglementation financière.",Article L532-2 du CMF
Cat C - Cadre institutionnel et reglementaire,Selon quelle périodicité les conseillers en investissements financiers (CIF) et les intermédiaires en opérations de banque et services de paiement (IOBSP) doivent-ils renouveler leur immatriculation sur le registre unique de l'ORIAS?,chaque année,tous les cinq ans,tous les trois ans,A,"Les conseillers en investissements financiers (CIF) et les intermédiaires en opérations de banque et services de paiement (IOBSP) doivent renouveler leur immatriculation annuellement pour maintenir leur conformité réglementaire et leur autorisation à exercer, selon la législation en vigueur.","Art. L 546-1, I, alinéa 3 CMF"
Cat C - Cadre institutionnel et reglementaire,"Les marchés financiers de pays comme le Brésil, la Colombie, l'Egypte, le Vietnam font partie :",Des marchés émergents,Des marchés développés,Des marchés publics,A,"Les marchés émergents réfèrent aux économies nationales en phase de rapide industrialisation et croissance économique, ce qui inclut les pays mentionnés comme le Brésil et le Vietnam, connus pour leur développement économique significatif et leur intégration croissante dans l'économie mondiale.",AMF / JUILLET 2019 / CARTOGRAPHIE 2019 DES MARCHÉS ET DES RISQUES
Cat C - Cadre institutionnel et reglementaire,"Pour être Conseiller en investissements financiers (CIF) il est, entre autres, nécessaire :","De respecter les règles de bonne conduite prévues par le Code Monétaire et Financier, le Règlement Général de l'AMF et celles définies par l'association dont il relève",De représenter une compagnie d'assurances,D'agir sous la responsabilité d'une seule et unique entreprise d'investissement,A,"Le CIF doit obéir à la réglementation spécifique qui assure la protection des investisseurs et l’intégrité du marché financier, en suivant les normes de comportement et de professionnalisme dictées par ces textes et associations régulatrices.",Loi de Sécurité Financière n 2003-706 du 01/08/2003
Cat C - Cadre institutionnel et reglementaire,Qui agrée les associations représentatives des CIF (Conseillers en Investissements Financiers) ?,L'AMF (Autorité des Marchés Financiers),La Banque de France,Le ministère des finances,A,"L'AMF est l'autorité de régulation des marchés financiers en France. Elle a la responsabilité de délivrer les agréments et de surveiller les activités des CIF pour assurer le respect des normes de compétences et de déontologie, conformément aux règlements financiers établis.",L 541-1 et suivants Code Monétaire et Financier
Cat C - Cadre institutionnel et reglementaire,"Avant de formuler un conseil, le CIF (Conseiller en Investissements Financiers) et son client doivent signer une lettre de mission qui précise :",La fréquence des contacts entre le CIF et le client,Les modalités de rémunération du CIF,Les diplômes et l'expérience professionnelle du CIF,B,"La lettre de mission détaille comment le CIF sera rémunéré pour ses services, évitant ainsi les malentendus ou conflits d'intérêts potentiels à propos de la rétribution pour les conseils fournis au client. Cela garantit une transparence financière essentielle à la relation de confiance entre les parties.",RG AMF art 325-6
Cat C - Cadre institutionnel et reglementaire,"Dans le cadre de la politique monétaire, la Banque centrale européenne fixe :",Le taux de croissance économique,Le taux de change de l'euro vis-à-vis des autres devises,Les taux directeurs,C,Les taux directeurs sont des outils de la politique monétaire utilisés par la Banque centrale européenne pour contrôler l'inflation et stabiliser la monnaie en influençant les conditions de crédit dans la zone euro.,"Article 12 protocole N°4 versions consolidées du traité sur l'Union européenne et du Traité sur le fonctionnement de l'Union européenne OJ C 202, 7.6.2016"
Cat C - Cadre institutionnel et reglementaire,Quel est l'un des principaux effets de l'inflation sur l'économie ?,La variation des cours de bourse,L'érosion de l'épargne liquide des ménages,L'augmentation des prélèvements obligatoires,B,"L'inflation provoque la hausse des prix, ce qui diminuent le pouvoir d'achat de l'argent gardé sous forme liquide. Ainsi, les épargnes des ménages, lorsqu'elles ne sont pas investies pour surpasser l'inflation, perdent de leur valeur réelle au fil du temps.",Source INSEE : On observe un ' panier ' pondéré de biens représentatifs de l'ensemble des biens consommés par les ménages. Un indice des prix à la consommation mesure les variations enregistrées sur le panier observé. Ce qui traduit la variation du cout de la vie pour les consommateurs et donc l'inflation
Cat C - Cadre institutionnel et reglementaire,L'Organisation Internationale des Commissions de Valeurs (OICV) :,Réglemente uniquement les marchés mondiaux de matières premières,Etablit des standards internationaux en matière de marchés financiers,Réglemente au niveau international les échanges commerciaux,B,"L’OICV a pour but principal d'harmoniser la régulation des marchés financiers mondiaux, facilitant ainsi les échanges internationaux, en augmentant la transparence et en renforçant la protection des investisseurs à travers l’établissement de standards uniformes.",Publication AMF du 24 juillet 2014 - Les relations institutionnelles de l'AMF à l'international
Cat C - Cadre institutionnel et reglementaire,Un Conseiller en Investissement Financier (CIF) peut :,Gérer des OPCVM,Exercer la réception et transmission d'ordres sur des parts ou actions d'OPCVM,Exercer la gestion individualisée sous mandat,B,"Un Conseiller en Investissement Financier (CIF) est habilité à conseiller sur des produits financiers, y compris les OPCVM (Organismes de Placement Collectif en Valeurs Mobilières). Cela inclut la capacité de recevoir et de transmettre des ordres pour le compte de ses clients.",CMF art. L. 541-1 et suivants - Site internet AMF Commercialisation et CIF 26 mai 2014
Cat C - Cadre institutionnel et reglementaire,Qui mène la politique monétaire de l'Union monétaire Européenne ?,La BCE seule,L'Eurosystème,La Commission européenne,B,"L'Eurosystème, composé de la Banque centrale européenne et des banques centrales nationales de tous les États membres de la zone euro, est responsable de la politique monétaire de l'Union monétaire européenne, y compris la gestion de l'euro et le contrôle de l'inflation.",Article 282 du Traité de l'Union européenne
Cat C - Cadre institutionnel et reglementaire,Un marché volatil est un marché :,Sur lequel les cours sont peu sensibles aux variations des volumes d'ordres d'achat et de vente,Sur lequel il est facile d'acheter ou de vendre des titres,Sur lequel les cours peuvent varier fortement en peu de temps,C,"La volatilité désigne l’ampleur des variations de prix d'un actif financier. Un marché volatil connaît donc d'importantes fluctuations, où les prix peuvent augmenter ou diminuer rapidement et de manière significative.",edubourse.com
Cat C - Cadre institutionnel et reglementaire,Quel est l'objectif du Comité de Bâle ?,Le Comité de Bâle a pour objectif de renforcer la solidité du système financier mondial en améliorant l'efficacité du contrôle prudentiel et la coopération entre les régulateurs bancaires,Le Comité de Bâle a pour objectif d'assurer le bon fonctionnement et l'intégrité des marchés financiers suisses,Le Comité de Bâle a pour unique objectif d'assurer la protection des investisseurs en Europe,A,"Le Comité de Bâle, formé après les crises financières, vise à réduire les risques pour le système financier en fixant des normes globales. Ces normes favorisent une surveillance bancaire cohérente et une collaboration accrue entre les autorités réglementaires, prévenant ainsi les défaillances systémiques.",Site internet de l'ACPR : https://acpr.banque-france.fr/europe-et-international/banques/instances/comite-de-bale
Cat C - Cadre institutionnel et reglementaire,Auprès de quel établissement les intermédiaires en opérations de banque et en services de paiement (IOBSP) doivent-ils être immatriculés ?,L'ORIAS,La Chambre de commerce dont ils dépendent,Le répertoire des métiers,A,"Les IOBSP sont réglementés en France et doivent être enregistrés auprès de l'ORIAS, un registre public, pour exercer légalement leur activité. Cela permet un contrôle et une vérification de leur compétence et de leur intégrité.",Article L519-3-1 du CMF
Cat C - Cadre institutionnel et reglementaire,"En France, la sécurité des marchés financiers est assurée par :",Le CCSF (Comité Consultatif du Secteur Financier),L'AFB (Association Française des Banques),L'AMF (Autorité des Marchés Financiers),C,"L'AMF régule les participants et produits des marchés financiers, surveille les transactions pour prévenir les abus, et protège les investisseurs, garantissant ainsi la sécurité et l'intégrité des marchés financiers en France.",CMF L621-1
Cat C - Cadre institutionnel et reglementaire,Quel est l'objectif prioritaire du SEBC et de la BCE?,La transparence des marchés financiers,La régulation des banques européennes,Le maintien de la stabilité des prix,C,"Le principal objectif du SEBC (Système européen de banques centrales) et de la BCE (Banque centrale européenne) est la stabilité des prix pour éviter l'inflation élevée et garantir une croissance économique stable, comme défini dans le traité sur le fonctionnement de l'Union européenne.",Voir le statut du SEBC : https://www.ecb.europa.eu/ecb/legal/pdf/fr_statute_2.pdf
Cat C - Cadre institutionnel et reglementaire,Auprès de quel établissement les CIF doivent-ils être immatriculés ?,L'ORIAS,La Chambre de commerce dont ils dépendent,Le répertoire des métiers,A,"Les Conseillers en Investissements Financiers (CIF) doivent être immatriculés à l'ORIAS pour exercer légalement, car cet organisme est responsable du registre officiel des intermédiaires en assurance, banque et finance en France, garantissant leur compétence et leur conformité réglementaire.",Article L541-4-1 du CMF
Cat C - Cadre institutionnel et reglementaire,Comment se définit la croissance économique ?,La progression des valorisations sur les marchés financiers,La richesse produite par chaque agent économique,L'augmentation du Produit Intérieur Brut en termes réels sur une ou plusieurs périodes longues,C,"La croissance économique est mesurée par l'accroissement du PIB réel, représentant la valeur totale des biens et services produits, ajustée pour les variations de prix (inflation), ce qui permet d'évaluer l'accroissement réel d'activité économique sur le temps.",Source INSEE PIB=Somme des valeurs ajoutées + TVA + Droits de douane sur les exportations-Subventions sur les produits
Cat C - Cadre institutionnel et reglementaire,Une chambre de compensation peut-elle présenter un risque systémique ?,"Oui, au même titre que les autres infrastructures de marché","Non, seuls les banques présentent un risque systémique","Non, ce sont les intermédiaires et les marchés qui présentent un risque systémique",A,"Une chambre de compensation centralise le risque en étant la contrepartie de chaque transaction. Si elle fait faillite ou rencontre des problèmes financiers, cela pourrait déstabiliser l'ensemble du système financier, affectant les marchés et les institutions qui en dépendent.",Règlement (UE) n° 1092/2010 - article 2
Cat C - Cadre institutionnel et reglementaire,Quelle est l'activité principale des CIF (Conseillers en Investissements Financiers) ?,Déposer les fonds qu'ils ont reçu de leurs clients sur un compte ouvert auprès de la CDC (Caisse des Dépôts et Consignations),Conseiller leurs clients sur la réalisation d'investissements financiers et d'opérations en biens divers,Mettre au point de nouveaux produits d'investissements financiers et de nouvelles offres sur biens divers,B,"Les Conseillers en Investissements Financiers (CIF) sont des professionnels ayant pour rôle d'orienter leurs clients dans le choix d'investissements. Ces investissements peuvent inclure des produits financiers et des biens divers, en fonction des objectifs et besoins spécifiques de chaque client.","C. mon. fin., art. L 541-1."
Cat C - Cadre institutionnel et reglementaire,Sont soumis(es) à un agrément de l'AMF :,Les Organismes de Placement Collectif Immobilier (OPCI),Les Sociétés en Commandite par Actions (SCA),Les Sociétés Civiles Immobilières (SCI),A,"Les OPCI, en tant que véhicules d'investissement immobilier collectif, doivent respecter des règles de fonctionnement et de transparence pour protéger les investisseurs. L'agrément de l'AMF assure que ces organismes répondent aux critères réglementaires nécessaires avant de fonctionner.",Site internet de l'AMF http://www.amf-france.org/Acteurs-et-produits/Produits-et-SICAV/Presentation
Cat C - Cadre institutionnel et reglementaire,La BCE (Banque Centrale Européenne) conduit une politique monétaire commune pour :,Uniquement les 11 pays fondateurs de l'euro,L'UE (Union Européenne),Les pays de la zone euro,C,"La BCE est responsable de la politique monétaire unique pour les pays de la zone euro, c'est-à-dire pour les États membres de l'Union Européenne qui ont adopté l'euro comme monnaie.",105-1 Traité de l'Union Européenne
Cat C - Cadre institutionnel et reglementaire,De qui relève l'élaboration des standards internationaux sur les marchés de valeurs mobilières?,De l'Organisation Internationale des Commissions de Valeurs,Du Forum financier international,Du Comité de Bâle,A,"L'Organisation Internationale des Commissions de Valeurs (OICV), standardisant pour les membres des régulateurs financiers mondiaux, élabore des normes pour régir et harmoniser la réglementation des marchés de valeurs mobilières à l'échelle internationale.",Objectives and Principles of Securities Regulation de 2003
Cat C - Cadre institutionnel et reglementaire,La 'liquidité' d'un marché est étroitement liée au :,Volume de transactions quotidiennes effectuées sur ce marché,Risque lié au marché financier en question,Niveau de prix atteint par le marché financier en question,A,"La liquidité d'un marché dépend de la facilité avec laquelle on peut acheter ou vendre un actif sans affecter son prix. Un volume élevé de transactions quotidienne signifie que plus d'actifs sont régulièrement achetés et vendus, améliorant ainsi cette facilité et, par conséquent, la liquidité du marché.",RG AMF art 312-44
Cat C - Cadre institutionnel et reglementaire,"En cas de crise bancaire, qui peut saisir l'ACPR pour entamer une résolution ?",Le Gouverneur de la Banque de France uniquement,Le Gouverneur de la Banque de France ou le Directeur Général du Trésor,Le Directeur Général du Trésor uniquement,B,"L'ACPR, sous la tutelle de la Banque de France, est responsable de la stabilité financière et de la supervision des banques. Le Gouverneur de la Banque de France et le Directeur Général du Trésor ont les prérogatives nécessaires pour activer une intervention en situation de crise bancaire.",Communication relative à la stratégie de résolution du Collège de résolution de l'ACPR 3.2.5.2. : https://acpr.banque-france.fr/sites/default/files/media/2017/10/25/20140718-communication-relative-a-la-strategie-de-resolution-du-college-de-resolution-de-l-acpr.pdf
Cat C - Cadre institutionnel et reglementaire,Quelles sont les missions du Conseil de stabilité financière ?,Surveiller les négociations sur les marchés monétaires au niveau mondial,Surveiller le système financier mondial,Surveiller les établissements financiers au niveau mondial,B,"Le Conseil de stabilité financière surveille le système financier mondial pour identifier et adresser des vulnérabilités et des risques, afin de prévenir les crises financières et maintenir la stabilité économique globale.",Voir le site : https://www.fsb.org/about/
Cat C - Cadre institutionnel et reglementaire,Qu'est-ce que €STR (Euro Short-Term Rate) ?,Il s'agit d'un taux à court terme en euros . Il reflète combien un particulier doit payer quand il emprunte de l'argent à une banque,Il s'agit d'un taux à court terme en euros ayant vocation à remplacer EONIA. Il reflète combien une banque doit payer quand elle emprunte de l'argent au jour le jour sans fournir de garanties (emprunts non garantis ou 'en blanc' ),Il s'agit d'un nouvel indice de référence destiné à remplacer le PIB (Produit Intérieur Brut) dans l'Union Européenne,B,"€STR est conçu pour fournir une référence transparente pour le coût d'emprunt interbancaire au jour le jour en euros, essentiel suite à l'obsolescence d'EONIA en raison des nouvelles réglementations financières qui exigent des taux plus robustes et représentatifs du marché.",Site internet de la BCE : https://www.ecb.europa.eu/explainers/tell-me-more/html/benchmark_rates_qa.fr.html
Cat C - Cadre institutionnel et reglementaire,Un niveau élevé d'inflation et une croissance faible est une :,Stagflation,Désinflation,Déflation,A,"La stagflation est caractérisée par un ralentissement économique combiné à une inflation élevée, où la croissance économique est faible et le coût de la vie augmente, reflétant précisément la situation décrite.",Lexique Bourse Finance - http://www.boursereflex.com/lexique/stagflation
Cat C - Cadre institutionnel et reglementaire,L'inflation est une situation de hausse généralisée et durable des prix des biens et des services. Cette situation correspond à :,Une baisse du pouvoir d'achat de la monnaie,Une stabilité du pouvoir d'achat de la monnaie,Une hausse du pouvoir d'achat de la monnaie,A,"L'inflation réduit le pouvoir d'achat de la monnaie car avec des prix plus élevés, une même somme d'argent permet d'acheter moins de biens et services qu'auparavant.",Site internet insee.fr - Site internet France-inflation.com
Cat C - Cadre institutionnel et reglementaire,L'indicateur économique qui correspond à la différence entre la valeur des biens exportés et celle des biens importés s'appelle :,L'excédent brut d'exploitation,La balance commerciale,Le produit intérieur brut (PIB),B,"La balance commerciale mesure les exportations et importations de biens d'un pays. Si les exportations dépassent les importations, la balance est excédentaire, et si c'est l'inverse, elle est déficitaire. Ainsi, elle reflète directement la différence en valeur entre biens exportés et importés.","SITE INSEE - Définitions, méthodes et qualité - Définitions - Balance commerciale"
Cat C - Cadre institutionnel et reglementaire,"Pour mettre en œuvre sa politique monétaire, la Banque centrale européenne (BCE) peut utiliser le dispositif d'open market. Que permet-il ?",De piloter les taux d'intérêt entre autres par des opérations de refinancement à 7 jours,D'élargir la liste des titres admis en collatéral,D'émettre des emprunts obligataires européens,A,"Le dispositif d'open market permet à la BCE de contrôler les taux d'intérêt à court terme par des opérations comme le refinancement principal, habituellement fixé à 7 jours, influençant ainsi la liquidité du système bancaire et les conditions de crédit.",Article 105 du Traité de Lisbonne 2009/Nouvelle orientation de la BCE (bce/2014/60)
Cat C - Cadre institutionnel et reglementaire,Le passeport européen pour les instruments et les établissements financiers permet :,La libre circulation de l'argent quelle que soit son origine,Dans des cas particuliers de s'affranchir de la réglementation abus de marché,Ce passeport permet la reconnaissance mutuelle des agréments délivrés dans chaque pays européen par les autorités compétentes,C,"Le passeport européen simplifie les opérations transfrontalières en finance en validant que les réglementations et contrôles de chaque pays membre de l'UE sont équivalents, facilitant ainsi l'acceptation des établissements financiers et de leurs services dans tous les autres pays membres sans nécessité de régulations additionnelles.",directive 2014/65/UE dite MIF2
Cat C - Cadre institutionnel et reglementaire,"La politique fiscale dans les pays de l'Union européenne, est du ressort :",De la Banque Centrale Européenne,De chaque Etat qui peut lui-même en déléguer une partie au niveau régional ou local,Du Parlement européen,B,"La politique fiscale reste principalement une prérogative nationale au sein de l'UE, chaque État membre étant responsable de ses propres lois fiscales, bien qu'il puisse transférer certains pouvoirs à des entités régionales ou locales, permettant une gestion plus adaptée aux spécificités locales.",http://www.vie-publique.fr/decouverte-institutions/finances-publiques/approfondissements/role-institutions-communautaires-matiere-fiscale.html
Cat C - Cadre institutionnel et reglementaire,L'Autorité de contrôle prudentiel et de résolution (ACPR) doit veiller :,A la préservation de la stabilité du système financier et à la protection des clients,A la protection de l'épargne investie dans les instruments financiers,A l'information des investisseurs et au bon fonctionnement des marchés d'instruments financiers,A,"L'ACPR est un régulateur du secteur bancaire et d'assurance en France, chargé de superviser ces institutions pour éviter les risques systémiques et garantir la sécurité des transactions pour les consommateurs, préservant ainsi la stabilité financière et protégeant les droits des clients.","Art. L612-1, I, al. 1 et L 621-1, al. 1 CMF"
Cat C - Cadre institutionnel et reglementaire,"Pour exercer une activité de gestion de portefeuille, le Prestataire de Service d'Investissement revêt le statut de :",Conseiller en investissement financier,Société de gestion de portefeuille,Etablissement de crédit,B,"Exercer une activité de gestion de portefeuille requiert une expertise spécifique et une régulation stricte pour protéger les intérêts des investisseurs, raison pour laquelle elle est souvent effectuée par des sociétés dédiées et régulées appelées sociétés de gestion de portefeuille.",RGAMF 316-2 et suivants
Cat C - Cadre institutionnel et reglementaire,"Parmi les propositions suivantes, laquelle ne correspond pas à un risque opérationnel ?",Une forte hausse du dollar par rapport à l'euro,Le passage d'un ordre d'achat au lieu d'un ordre de vente,Une panne informatique,A,"Le risque opérationnel concerne les pertes potentielles résultant de déficiences internes (humaines, processus, systèmes) au sein de l'entreprise. Une variation des taux de change, comme une hausse du dollar, relève du risque de marché, affectant la valeur des transactions en devises, et donc est distinct des risques opérationnels.","Recueil de la réglementation française relative à l'exercice des activités bancaires et financières 2010, CCLRF"
Cat C - Cadre institutionnel et reglementaire,"Parmi ces propositions, laquelle constitue une mission du pôle commun AMF/ACPR ?",Déterminer le niveau des sanctions applicables aux personnes qui sont sous leur tutelle,Coordonner les contrôles conjoints des pratiques commerciales,Améliorer les échanges d'informations sur les marchés financiers,B,"Le pôle commun AMF/ACPR a été créé pour renforcer la supervision des activités des acteurs des marchés financiers et assurer le respect des règles par les entités régulées. L'une de ses principales missions est de coordonner les actions de contrôle sur le terrain, notamment les pratiques commerciales, pour une meilleure protection des consommateurs.",Art L612-47 du CMF
Cat C - Cadre institutionnel et reglementaire,"Que doit présenter, entres autres exigences, une société de gestion de portefeuille pour obtenir l'agrément de l'Autorité des Marchés Financiers ?",L'une et l'autre,Un programme d'activité pour chacun des services qu'elle entend exercer,Une étude économique et boursière sur les marchés dont elle est spécialiste,B,"L'agrément de l'Autorité des Marchés Financiers nécessite la démonstration d'une planification adéquate et spécifique à chaque service offert par la société, assurant ainsi une gestion cohérente et conforme aux régulations financières strictes.",CMF art. L. 532-9 5° alinéa
Cat C - Cadre institutionnel et reglementaire,Le PIB mondial indicateur économique qui mesure les richesses mondiales créées est :,"La somme, pondérée des échanges internationaux, de tous les PIB nationaux",La somme de tous les PIB nationaux convertis en dollars,Un taux de croissance moyen des taux de croissance nationaux,B,"Le PIB mondial représente la valeur totale de la production économique mondiale. En additionnant les PIB de chaque pays, convertis en une monnaie commune (le dollar), on obtient une mesure globale et comparative des richesses produites à l'échelle internationale.",Site Fonds Monétaire International
Cat C - Cadre institutionnel et reglementaire,Comment se définit l'inflation ?,Une dépréciation de l'euro sur le marché des changes,Une augmentation des taux d'intérêts,Une perte du pouvoir d'achat de la monnaie,C,"L'inflation représente la hausse générale et soutenue des prix des biens et services, ce qui entraîne une diminution de la valeur réelle de la monnaie : avec la même quantité de monnaie, on peut acheter moins qu’auparavant.",Définition du site de l'INSEE
Cat C - Cadre institutionnel et reglementaire,Comment appelle-t-on le dispositif qui permet aux PSI agréés d'exercer librement leurs activités dans n'importe quel État membre de l'Union européenne ?,Le mécanisme unique des prestations de service,Le passeport européen,Le passeport international,B,"Le passeport européen autorise les Prestataires de Services d'Investissement (PSI) à opérer dans tous les États membres de l'UE sans besoin de s'établir localement, facilitant ainsi la libre circulation des services financiers conformément à la réglementation européenne.",https://www.amf-france.org/Acteurs-et-produits/Societes-de-gestion/Passeport
Cat C - Cadre institutionnel et reglementaire,Un établissement dûment agréé :,Ne peut avoir que le statut de prestataire de services d'investissements,Peut avoir le statut d'établissement de crédit et de prestataire de services d'investissements,Ne peut avoir que le statut d'établissement de crédit,B,"Un établissement dûment agréé signifie qu'il a reçu une autorisation officielle pour opérer, ce qui peut inclure des services bancaires et d'investissement si les critères réglementaires spécifiques sont remplis.",L 531-1 et L321-1 CMF
Cat C - Cadre institutionnel et reglementaire,Le taux d'intérêt à court terme :,Désigne les taux de change bilatéraux de l'euro,"Désigne les taux sur les marchés monétaires pour différentes échéances (au jour le jour, à trois mois)",Concerne le rendement des obligations d'État avec une échéance de dix ans,B,"Les taux d'intérêt à court terme concernent des échéances courtes et sont typiquement observés sur les marchés monétaires, où les prêts et les emprunts se font généralement pour des durées comme au jour le jour ou jusqu'à trois mois.",https://ec.europa.eu/eurostat/fr/web/euro-indicators/monetary-and-financial-indicators
Cat C - Cadre institutionnel et reglementaire,L'agrément et le contrôle du respect de la règlementation des établissements de crédit sont assurés par :,Le Ministère de l'Economie et des Finances,L'Autorité de Contrôle Prudentiel et de Résolution,L'Autorité des Marchés Financiers,B,"L'Autorité de Contrôle Prudentiel et de Résolution (ACPR) est responsable de la supervision des banques et des assurances en France, veillant à la stabilité financière et à la protection des clients. Elle octroie les agréments et surveille la conformité réglementaire des établissements financiers.",Site internet acpr.banque-france.fr et CMF art. L. 612-1 II
Cat C - Cadre institutionnel et reglementaire,Quelle est l'activité habituelle d'un CIF (conseiller en investissements financiers) ?,Fournir des recommandations générales concernant des instruments financiers à des fins d'information ou de publicité,"Fournir des recommandations personnalisées à un tiers, soit à sa demande, soit à l'initiative de l'entreprise qui fournit le conseil, concernant une ou plusieurs transactions portant sur des instruments financiers",Déposer les fonds qu'ils ont reçu du public sur un compte ouvert auprès de la CDC (Caisse des Dépôts et Consignations),B,"Un CIF est réglementé pour offrir des conseils spécifiques et personnalisés sur les instruments financiers, aidant les clients à prendre des décisions éclairées d'investissement, que ce soit à l'initiative du client ou du conseiller lui-même.","C. mon. fin., art. D 321-1 / C. envir., art. L 229-7."
Cat C - Cadre institutionnel et reglementaire,Quel est la mission principale du Comité de Bâle ?,Mettre en place les outils de communication entre pays pour limiter au maximum la fraude fiscale,"Renforcer la solidité du système financier mondial,l'efficacité du contrôle prudentiel et la coopération entre régulateurs",Contribuer à l'amélioration de l'état du monde financier en réunissant régulièrement les acteurs internationaux,B,"Le Comité de Bâle élabore des normes et des pratiques de surveillance bancaire internationales pour stabiliser les systèmes financiers, améliorer la supervision des banques et faciliter la collaboration entre les autorités réglementaires, afin de prévenir les crises financières futures.",Site ACPR: les instances : le comité de Bâle
Cat C - Cadre institutionnel et reglementaire,"Parmi les services suivants, lequel est défini comme un service d'investissement ?",La diffusion de moyens de paiement,L'exploitation d'un système multilatéral de négociation,Les deux,B,"L'exploitation d'un système multilatéral de négociation (SMN) est catégorisée comme un service d'investissement car elle facilite la rencontre de multiples intérêts d'achat et de vente de divers instruments financiers entre parties intéressées, fonctionnant ainsi comme une plateforme régulée pour les transactions financières.",CMF art. L. 424-1
Cat C - Cadre institutionnel et reglementaire,le marché des changes,Est un marché réglementé,Est un marché non régulé,Est un marché rattaché à une place boursière,B,"Le marché des changes opère sans régulation centrale car il s'agit d'un réseau mondial de banques et d'institutions financières qui négocient des devises de manière décentralisée. Cela permet une flexibilité et une accessibilité accrues, mais également moins de surveillance réglementaire comparé aux marchés boursiers centralisés.",Voir le site : https://www.lafinancepourtous.com/decryptages/marches-financiers/fonctionnement-du-marche/marche-des-changes-forex/
Cat C - Cadre institutionnel et reglementaire,Quel est l'objectif de l'Union Bancaire Européenne ?,Surveiller les établissements de crédit et les entreprises d'assurance européens,Anticiper les risques de crise bancaire et mieux en traiter les conséquences si elle survient,Contrôler la politique budgétaire et les finances publiques des États Européens,B,"L'Union Bancaire Européenne centralise la régulation bancaire pour déceler et gérer les problèmes financiers avant qu'ils ne deviennent des crises, minimisant ainsi leur impact et protégeant l'économie.",Union bancaire européenne décidée par le conseil européen du 29 juin 2012 . Mécanisme de surveillance unique : règlement (UE) No 1024/2013du conseil du 15 octobre 2013. Mécanisme de résolution unique : règlement (UE) No 806/2014 du parlement européen et du conseil du 15 juillet 2014.
Cat C - Cadre institutionnel et reglementaire,Dans quel domaine le Comité Consultatif de la Législation et de la Réglementation Financières donne-t-il son avis sur les projets de textes ?,Le domaine financier uniquement,Le domaine bancaire uniquement,"Les domaines bancaire, financier et des assurances",C,"Le Comité Consultatif de la Législation et de la Réglementation Financières est spécifiquement conçu pour superviser et conseiller sur les régulations dans les secteurs des banques, des finances et des assurances, assurant ainsi la cohérence et la sécurité réglementaire dans ces domaines cruciaux.",Art L614-2 du CMF
